waypoint1	waypoint2	distance_m	duration_s
Grand Mesa South Colorado	Magnolia Dr Colorado	439179	107066
Glacier Lodge Rd California	Breckenridge Rd East California	276735	53391
Townes Pass West California	Independence Pass Colorado	1329933	271297
Hwy 157 Mt Charleston Nevada	Mt Equinox Vermont	4608843	862926
Mineral King Rd California	Grand Mesa South Colorado	1592753	319713
Shirley Meadows California	Mt Equinox Vermont	4962557	931684
Nate Harrison Grade California	Nine Mile Rd California	343043	69308
Hwy 168 California	Independence Pass Colorado	1830328	361583
Mt Spokane Washington	Empire Pass Utah	1344335	255726
Beartooth Pass North Montana	Mt Spokane Washington	954446	184333
Mission Ridge Washington	Lone Pine-Table Mountain California	1784989	339420
Powder Mountain Utah	Parks Creek East California	1140632	217895
Gibraltar Road Santa Barbara California	Sandia Crest Hwy New Mexico	1425575	278081
Grand Mesa South Colorado	Death Valley Rd East California	1207395	239579
East Portal Colorado	Portuguese Pass California	1431246	287380
Pikes Peak Colorado	Hwy 168 California	2015516	394414
Hwy 21-245-180-198 California	Big Cottonwood Canyon Utah	1383579	267116
Mt Shasta California	Mt Hood Oregon	546893	104403
Powder Mountain Utah	Emigrant Pass East California	899620	167052
Pikes Peak Colorado	Hwy 18 North California	1575357	307813
Mt Washington Auto Rd New Hampshire	Hwy 156-158 Nevada	4896080	922458
Mt Evans Colorado	Mix Canyon Fairfield California	1870579	376298
Trail Ridge Rd Colorado	Nate Harrison Grade California	1858011	378375
Powder Mountain Utah	Whitney Portal California	1038914	194244
Cottonwood Pass Colorado	N4/Table Mt California	1571509	299478
Guanella Pass Colorado	Parks Creek East California	1919308	386254
Wheeler Peak Nevada	Sonora Pass West California	687897	135737
Mt Spokane Washington	Kolob Terrace Rd Utah	1705623	327628
Glacier Lodge Rd California	Onion Valley Rd California	43831	7896
Hwy 14 West Wyoming	Little Cottonwood Canyon Utah	733990	146405
Hwy 39-Crystal Lake Rd California	Pine Creek Rd California	489249	95318
Glacier Lodge Rd California	Mt Equinox Vermont	4822923	909566
Lone Pine-Table Mountain California	Whitney Portal California	283425	52003
Slumgullion Pass West Colorado	Nate Harrison Grade California	1399302	285000
Magnolia Dr Colorado	Sandia Crest Hwy New Mexico	731437	149664
Mt Washington Auto Rd New Hampshire	Gibraltar Road Santa Barbara California	5308311	997076
Mt Washington Auto Rd New Hampshire	Emigrant Pass East California	5067253	952721
Guanella Pass Colorado	Whitney Portal California	1563596	317737
Hwy 156-158 Nevada	Tollhouse Rd California	813793	154413
Mt Shasta California	Palomar Mt California	1206238	239523
Mt Evans Colorado	Elkhorn Summit Oregon	1576166	308511
Hwy 330 California	Hwy 31 West Utah	1078419	214995
Pikes Peak Colorado	Clingman's Dome Tennessee	2331574	439497
Powder Mountain Utah	Whiteface Mt New York	3885823	723430
Pikes Peak Colorado	Empire Pass Utah	838560	175633
Horseshoe Meadows Rd California	Daylight Pass Rd California	144080	31124
Hwy 157 Mt Charleston Nevada	Hwy 153 Utah	438045	89819
Horseshoe Meadows Rd California	Palomar Mt California	428142	81053
Mt Equinox Vermont	Sandia Crest Hwy New Mexico	3627259	676005
Townes Pass West California	Breckenridge Rd East California	223819	46626
Hwy 143 Utah	Slumgullion Pass West Colorado	724484	159081
Hwy 14 West Wyoming	Independence Pass Colorado	824277	163962
Townes Pass West California	Mission Ridge Washington	1585299	304109
Hwy 82 New Mexico	White Mountain California	1687702	304637
N4/Table Mt California	Mt Equinox Vermont	4842290	906087
Hwy 153 Utah	Hwy 180 West California	1129060	225207
Townes Pass West California	Lone Pine-Table Mountain California	257480	50453
Hwy 143 Utah	Mt Spokane Washington	1626377	304296
Hurricane Ridge Washington	Mt Auscutney Vermont	5465253	1039711
Bear Creek Road California	Hwy 157 Mt Charleston Nevada	676155	129856
Left Hand Canyon Colorado	Etna Summit West California	2172336	420797
N4/Table Mt California	Hurricane Ridge Washington	2007987	381046
East Portal Colorado	Left Hand Canyon Colorado	547156	125167
Mosquito Ridge Rd East California	Slumgullion Pass West Colorado	1699434	346988
Hwy 157 Mt Charleston Nevada	Independence Pass Colorado	1145451	237976
Nate Harrison Grade California	Kolob Terrace Rd Utah	781464	158724
Emigrant Pass East California	Mt Hood Oregon	1313376	247994
Cottonwood Pass Colorado	South Lake California	1578047	312098
Lake Sabrina California	Gibraltar Road Santa Barbara California	503333	90342
Glacier Lodge Rd California	Beartooth Pass North Montana	1554901	299235
Townes Pass West California	Little Cottonwood Canyon Utah	839212	161845
Hwy 18-Waterman Canyon California	Mix Canyon Fairfield California	818756	161427
Magnolia Dr Colorado	Dantes View California	1462942	304238
Hwy 157 Mt Charleston Nevada	Nine Mile Rd California	397141	77032
Portuguese Pass California	Mt Auscutney Vermont	5099203	968063
Wheeler Peak Nevada	Independence Pass Colorado	898225	186200
Mosquito Ridge Rd East California	Mt Spokane Washington	1337595	272079
Nine Mile Rd California	Mt Auscutney Vermont	4965154	929890
Burke Mt Vermont	Beasore Rd California	5182650	981504
Hwy 14 West Wyoming	Elkhorn Summit Oregon	1157887	224318
Monitor Pass East California	Hwy 180 West California	429191	97973
Hwy 82 New Mexico	Hwy 21-245-180-198 California	1755366	326032
Portuguese Pass California	Cottonwood Pass Colorado	1726657	346441
Powder Mountain Utah	Townes Pass East California	899620	167052
Townes Pass West California	Mt Spokane Washington	1653182	315441
Glacier Lodge Rd California	Sherman Pass West California	288971	56506
Hwy 18-Waterman Canyon California	Mt Evans Colorado	1671731	338054
Grand Mesa South Colorado	Independence Pass Colorado	186407	43573
Hurricane Ridge Washington	Daylight Pass Rd California	1771321	338187
Pikes Peak Colorado	Pine Creek Rd California	1724371	342664
Lake Sabrina California	Hwy 157 Mt Charleston Nevada	398745	75561
Hwy 156-158 Nevada	Mt Ashland Oregon	1078628	198526
Grand Mesa South Colorado	Etna Summit West California	1840737	365384
Kolob Terrace Rd Utah	Elkhorn Summit Oregon	1194533	227329
Mosquito Ridge Rd East California	Pikes Peak Colorado	1883136	388926
Wolf Creek Pass Colorado	Emigrant Pass East California	1269510	241381
Sherman Pass West California	Hwy 21-Whittaker Forest California	155609	37560
Mineral King Rd California	Palomar Mt California	557080	113854
Burke Mt Vermont	Empire Pass Utah	4141633	770477
Hwy 143 Utah	Elkhorn Summit Oregon	1106023	207172
Shirley Meadows California	Mt Graham Arizona	1189380	218986
Wildrose California	Hwy 21-Whittaker Forest California	350287	78299
Hwy 156-158 Nevada	Hwy 156-Lee Canyon Nevada	264	136
Hwy 14 West Wyoming	Empire Pass Utah	707602	137225
