waypoint1	waypoint2	distance_m	duration_s
Mt Baldy California	Sandia Crest Hwy New Mexico	1266975	247548
Balch Park Rd California	Hwy 18 North California	413572	80555
Glacier Lodge Rd California	Mt Hood Oregon	1201471	222897
East Portal Colorado	Hwy 39-Dawson's Saddle California	1349622	272824
Beartooth Pass North Montana	Elkhorn Summit Oregon	1074823	218771
Hwy 21-245-180-198 California	Hwy 156-Lee Canyon Nevada	736657	139232
Hwy 157 Mt Charleston Nevada	Hwy 38-Valley of Falls California	444016	83769
Sonora Pass West California	Hwy 153 Utah	783828	153125
Slumgullion Pass West Colorado	Hwy 21-Whittaker Forest California	1636254	332217
Pikes Peak Colorado	Independence Pass Colorado	293261	76738
East Portal Colorado	Hwy 190 California	1522397	308074
Hwy 153 Utah	Townes Pass East California	536741	106804
Empire Pass Utah	Grand Mesa North Colorado	438561	92435
Hwy 14 West Wyoming	Mt Evans Colorado	768903	149128
Emigrant Pass East California	Hwy 180 West California	296214	93899
Mission Ridge Washington	Daylight Pass Rd California	1519416	288092
Mosquito Ridge Rd East California	Nine Mile Rd California	611785	134975
Wildrose California	Kolob Terrace Rd Utah	597470	127109
Glacier Lodge Rd California	Rock Creek California	48478	8166
Hwy 153 Utah	White Mountain California	626717	124213
Balch Park Rd California	Guanella Pass Colorado	1909162	385768
Palomar Mt California	Mt Auscutney Vermont	5002290	938601
Hwy 157-158 Nevada	Hwy 31 West Utah	669102	133838
Gibraltar Road Santa Barbara California	Beasore Rd California	498130	107861
Hwy 14 Alt Route Wyoming	Death Valley Rd East California	1535422	292274
Portuguese Pass California	Hwy 39-Crystal Lake Rd California	370650	82931
Wolf Creek Pass Colorado	Hwy 198 California	1622410	321347
Mt Evans Colorado	White Mountain California	1510012	308141
Guanella Pass Colorado	Breckenridge Rd East California	1743598	356886
Empire Pass Utah	Dantes View California	829966	150597
Grand Mesa South Colorado	Big Cottonwood Canyon Utah	585492	125915
Bear Creek Road California	Hwy 38-Valley of Falls California	427038	86628
Clingman's Dome Tennessee	South Lake California	4000710	766216
Hwy 190 California	Kolob Terrace Rd Utah	939601	187590
Mt Washington Auto Rd New Hampshire	Sherman Pass West California	5251031	992689
Lake Sabrina California	Mineral King Rd California	261362	87722
Hwy 190 California	Pine Creek Rd California	319115	96084
Slumgullion Pass West Colorado	Hwy 39-Crystal Lake Rd California	1424506	288940
Empire Pass Utah	Pine Creek Rd California	934205	173452
Wildrose California	Nine Mile Rd California	127260	22929
Lone Pine-Table Mountain California	Sandia Crest Hwy New Mexico	1224421	234094
Powder Mountain Utah	Empire Pass Utah	127594	27992
N4/Table Mt California	Etna Summit West California	1190239	248070
Pikes Peak Colorado	Hwy 21-Whittaker Forest California	1944710	381287
Sandia Crest Hwy New Mexico	Whitney Portal California	1336740	258708
Mt Washington Auto Rd New Hampshire	White Mountain California	5124767	963620
Guanella Pass Colorado	Sandia Crest Hwy New Mexico	621102	129887
Balch Park Rd California	Grand Mesa North Colorado	1591796	319215
Hwy 168 California	Daylight Pass Rd California	555851	116750
Refugio Rd California	Daylight Pass Rd California	506234	102628
Balch Park Rd California	Hwy 31 West Utah	1293507	251790
Mosquito Ridge Rd East California	Hwy 38-Valley of Falls California	900115	185235
Wolf Creek Pass Colorado	Mt Harrision Idaho	1108929	222877
Bear Creek Road California	Hwy 190 California	7918	1634
East Portal Colorado	Nate Harrison Grade California	1323638	268725
Grand Mesa South Colorado	Mt Shasta California	1715721	335402
Mt Graham Arizona	Mt Harrision Idaho	1440726	290633
Glacier Lodge Rd California	Hwy 198 California	233379	81827
Portuguese Pass California	Kolob Terrace Rd Utah	767809	164188
Pikes Peak Colorado	Kolob Terrace Rd Utah	1135244	222911
Monitor Pass East California	Tollhouse Rd California	302144	79513
Hwy 190 California	Townes Pass East California	349861	82607
Bear Creek Road California	Mt Hood Oregon	1431999	272381
Hwy 14 West Wyoming	Hurricane Ridge Washington	1756103	346800
Emigrant Pass East California	Mt Ashland Oregon	985544	183244
Hwy 82 New Mexico	Emigrant Pass East California	1301832	244683
Magnolia Dr Colorado	Hwy 180 West California	1683937	383237
Hwy 330 California	Sandia Crest Hwy New Mexico	1223276	239657
Hwy 143 Utah	Mt Evans Colorado	981161	212533
Hurricane Ridge Washington	Dantes View California	1801951	343598
Hwy 157-158 Nevada	Hwy 180 West California	743354	142051
Nate Harrison Grade California	Hwy 21-Whittaker Forest California	553119	114242
Nate Harrison Grade California	Mt Baldy California	134007	26951
Hwy 198 California	Hwy 21-245-180-198 California	47094	11027
Mt Hood Oregon	Hwy 21-Whittaker Forest California	1400924	267678
Rock Creek California	Mt Rose California	287886	60726
Magnolia Dr Colorado	Portuguese Pass California	1827644	389136
Hwy 156-158 Nevada	Mt Baldy California	524044	100664
Mt Rose California	Hwy 156-Lee Canyon Nevada	606887	112966
Clingman's Dome Tennessee	Pine Creek Rd California	4015270	768662
Sonora Pass West California	Horseshoe Meadows Rd California	310635	68846
Burke Mt Vermont	Hwy 39-Dawson's Saddle California	5131123	954008
Townes Pass West California	Whitney Portal California	88431	17441
Mt Equinox Vermont	Mt Rose California	4760392	898650
Hwy 156-158 Nevada	White Mountain California	344628	66903
Mt Washington Auto Rd New Hampshire	Trail Ridge Rd Colorado	3555245	672525
Powder Mountain Utah	Little Cottonwood Canyon Utah	120547	24592
Sonora Pass West California	Mt Shasta California	544408	110423
Portuguese Pass California	Hwy 18 North California	312664	66974
Mt Ashland Oregon	White Mountain California	866931	161769
Emigrant Pass East California	Wheeler Peak Nevada	477837	86288
Wolf Creek Pass Colorado	Hwy 156-Lee Canyon Nevada	1086025	215865
Mt Lemmon Arizona	Hwy 21-Whittaker Forest California	1194815	222153
Hwy 14 Alt Route Wyoming	Mt Hood Oregon	1533867	302189
Hwy 18-Waterman Canyon California	Nine Mile Rd California	229120	43511
Bear Creek Road California	Hwy 31 West Utah	1296587	256357
Mt Lemmon Arizona	Mt Ashland Oregon	1878013	342265
Hwy 168 California	Little Cottonwood Canyon Utah	1087283	228523
Guardsman Pass Utah	Breckenridge Rd East California	1201960	235574
Trail Ridge Rd Colorado	Mt Lemmon Arizona	1559953	302935
Lake Sabrina California	Wolf Creek Pass Colorado	1428553	278484
Clingman's Dome Tennessee	Tollhouse Rd California	4209548	802260
Balch Park Rd California	Onion Valley Rd California	210170	80294
Bear Creek Road California	Hwy 14 Alt Route Wyoming	1959692	390894
Portuguese Pass California	Mt Spokane Washington	1940452	371020
Townes Pass East California	Guanella Pass Colorado	1438306	295333
Gibraltar Road Santa Barbara California	Hwy 31 West Utah	1240096	242936
Empire Pass Utah	Mt Ashland Oregon	1309831	252311
Hwy 18-Waterman Canyon California	Tollhouse Rd California	516485	105764
Left Hand Canyon Colorado	Cottonwood Pass Colorado	321372	71613
Guardsman Pass Utah	Independence Pass Colorado	588664	126540
Bear Creek Road California	Mix Canyon Fairfield California	492182	92435
Independence Pass Colorado	Big Cottonwood Canyon Utah	684604	146286
Guardsman Pass Utah	Gibraltar Road Santa Barbara California	1305349	246817
Left Hand Canyon Colorado	Beasore Rd California	1747077	371315
Shirley Meadows California	Hwy 157 Mt Charleston Nevada	459370	92084
Hwy 330 California	Mt Equinox Vermont	4838495	905644
Hwy 153 Utah	Mt Ashland Oregon	1287748	238089
Magnolia Dr Colorado	Tollhouse Rd California	1776490	380517
Hwy 180 West California	Grand Mesa North Colorado	1651025	330969
Beasore Rd California	Mt Ashland Oregon	884969	177941
Mosquito Ridge Rd East California	Emigrant Pass East California	678271	140820
Sonora Pass West California	Hwy 180 West California	347628	71000
Hwy 168 California	Sherman Pass West California	241981	53638
Hurricane Ridge Washington	Pine Creek Rd California	1595802	316814
Mt Hood Oregon	Hwy 156-Lee Canyon Nevada	1408848	258932
Glacier Lodge Rd California	Dantes View California	205592	42918
Balch Park Rd California	Dantes View California	420777	97385
Kolob Terrace Rd Utah	Empire Pass Utah	479100	94525
Pikes Peak Colorado	Burke Mt Vermont	3510937	653360
Refugio Rd California	Hwy 157-158 Nevada	663559	121077
Townes Pass East California	Mt Rose California	498475	99408
Mt Graham Arizona	Kolob Terrace Rd Utah	828415	173629
Guardsman Pass Utah	White Mountain California	864071	168855
Sherman Pass West California	Mt Hood Oregon	1494564	292104
Townes Pass West California	Hwy 14 West Wyoming	1584836	305612
Balch Park Rd California	Mt Shasta California	904087	174632
Hwy 14 Alt Route Wyoming	Little Cottonwood Canyon Utah	753650	152496
Mosquito Ridge Rd East California	Dantes View California	680576	144826
Daylight Pass Rd California	Breckenridge Rd East California	278442	63383
Big Cottonwood Canyon Utah	Hwy 21-Whittaker Forest California	1086934	239752
Guardsman Pass Utah	Sonora Pass West California	966607	195522
Mix Canyon Fairfield California	Elkhorn Summit Oregon	1078318	205789
Burke Mt Vermont	Hwy 18 North California	4979863	926555
Big Cottonwood Canyon Utah	Grand Mesa North Colorado	521068	110896
Hwy 157 Mt Charleston Nevada	Hwy 330 California	457986	88494
Monitor Pass East California	Whiteface Mt New York	4807019	901816
Left Hand Canyon Colorado	Guanella Pass Colorado	137590	36002
Hwy 168 California	Rock Creek California	273324	75055
Grand Mesa South Colorado	Portuguese Pass California	1467826	294573
Townes Pass East California	Hwy 31 West Utah	747743	146344
Rock Creek California	Hwy 143 Utah	663135	125580
Sherman Pass West California	Mt Harrision Idaho	1106833	216849
Pikes Peak Colorado	Mt Hood Oregon	2193815	413240
Mt Shasta California	Sherman Pass West California	981489	197889
Hwy 14 Alt Route Wyoming	Mission Ridge Washington	1297451	247967
Emigrant Pass East California	Portuguese Pass California	298642	67983
Clingman's Dome Tennessee	Mt Spokane Washington	4094556	783222
Shirley Meadows California	Big Cottonwood Canyon Utah	1141431	227111
Hwy 156-158 Nevada	Magnolia Dr Colorado	1397218	294072
Mt Rose California	Mt Auscutney Vermont	4834848	908484
Portuguese Pass California	Sandia Crest Hwy New Mexico	1381257	276751
Palomar Mt California	Hwy 156-Lee Canyon Nevada	537286	101433
Hwy 143 Utah	Sandia Crest Hwy New Mexico	860041	174696
Mosquito Ridge Rd East California	Grand Mesa North Colorado	1492873	306256
Death Valley Rd East California	White Mountain California	46776	12972
Hwy 143 Utah	Death Valley Rd East California	559981	105549
Wolf Creek Pass Colorado	N4/Table Mt California	1309424	249999
Death Valley Rd East California	Independence Pass Colorado	1340885	270189
Guardsman Pass Utah	East Portal Colorado	574470	124826
Clingman's Dome Tennessee	Independence Pass Colorado	2611497	503030
Mt Lemmon Arizona	Guanella Pass Colorado	1394948	269682
Balch Park Rd California	Cottonwood Pass Colorado	1834827	352855
Rock Creek California	Clingman's Dome Tennessee	4018796	769324
Mineral King Rd California	Hwy 180 West California	96533	20840
Rock Creek California	Empire Pass Utah	927680	174947
Hwy 153 Utah	Hwy 157-158 Nevada	438045	89819
Sonora Pass West California	Death Valley Rd East California	285008	64088
Hwy 38-Valley of Falls California	Mt Rose California	748142	143085
Hwy 330 California	Death Valley Rd East California	442477	89542
Shirley Meadows California	Balch Park Rd California	123049	31638
Hwy 156-158 Nevada	Elkhorn Summit Oregon	1230787	230862
Bear Creek Road California	Beasore Rd California	243643	50838
Gibraltar Road Santa Barbara California	Pine Creek Rd California	534215	101411
Hwy 18-Waterman Canyon California	Townes Pass West California	287277	57252
Little Cottonwood Canyon Utah	Whitney Portal California	975978	183026
Whiteface Mt New York	Grand Mesa North Colorado	3675903	709011
East Portal Colorado	Hwy 18 North California	1193453	232664
Balch Park Rd California	Nine Mile Rd California	231259	54940
Hwy 156-158 Nevada	Hwy 198 California	741293	140576
Magnolia Dr Colorado	Pine Creek Rd California	1565317	319856
Hwy 21-245-180-198 California	Hwy 21-Whittaker Forest California	127	51
Mt Shasta California	Little Cottonwood Canyon Utah	1145599	217006
Hwy 190 California	Dantes View California	391117	90007
Grand Mesa South Colorado	Kolob Terrace Rd Utah	821220	159652
Mt Washington Auto Rd New Hampshire	Monitor Pass East California	5111245	958768
Breckenridge Rd East California	Hwy 180 West California	265389	56353
Balch Park Rd California	Glacier Lodge Rd California	255831	88278
Left Hand Canyon Colorado	Hwy 157-158 Nevada	1397140	295982
Hwy 198 California	Dantes View California	460798	102980
Little Cottonwood Canyon Utah	Horseshoe Meadows Rd California	982447	184204
Hwy 157 Mt Charleston Nevada	Etna Summit West California	1103926	208802
Lone Pine-Table Mountain California	Hwy 180 West California	430983	88044
Hwy 153 Utah	Onion Valley Rd California	674047	132581
Hwy 14 Alt Route Wyoming	Hwy 180 West California	1855796	372713
Lake Sabrina California	Mt Lemmon Arizona	1152164	204737
Empire Pass Utah	Hwy 18 North California	1056680	202873
Kolob Terrace Rd Utah	Breckenridge Rd East California	775041	158084
Powder Mountain Utah	Mt Rose California	905607	173875
Hwy 143 Utah	South Lake California	655968	123367
Mosquito Ridge Rd East California	Mt Rose California	161354	46413
Nine Mile Rd California	Hwy 18 North California	218365	39625
Hwy 168 California	Dantes View California	584585	122020
Wolf Creek Pass Colorado	Glacier Lodge Rd California	1435849	283518
Trail Ridge Rd Colorado	Mt Baldy California	1844781	374398
Guardsman Pass Utah	Mt Equinox Vermont	3904244	728229
Palomar Mt California	Mt Ashland Oregon	1373440	260791
Cottonwood Pass Colorado	Kolob Terrace Rd Utah	975850	206058
Grand Mesa South Colorado	Slumgullion Pass West Colorado	165635	41014
Mt Spokane Washington	Mix Canyon Fairfield California	1457530	278403
Hwy 18-Waterman Canyon California	Burke Mt Vermont	5058470	939306
Horseshoe Meadows Rd California	Mission Ridge Washington	1528854	288062
Balch Park Rd California	Lone Pine-Table Mountain California	371740	75726
Hwy 18 North California	White Mountain California	381027	67596
Emigrant Pass East California	Hwy 168 California	539654	112062
Hwy 14 West Wyoming	Hwy 18 North California	1766629	341527
Refugio Rd California	Hwy 14 West Wyoming	2055627	393703
Hwy 82 New Mexico	Wildrose California	1360399	267106
Hwy 38-Valley of Falls California	Nate Harrison Grade California	112726	23490
Mineral King Rd California	Mt Harrision Idaho	1245193	251309
Sonora Pass West California	Sherman Pass West California	511407	115764
Trail Ridge Rd Colorado	Mt Auscutney Vermont	3344105	639629
Hwy 38-Valley of Falls California	Kolob Terrace Rd Utah	700496	140438
Sonora Pass West California	Mt Equinox Vermont	4868869	922615
Hwy 156-Lee Canyon Nevada	Pine Creek Rd California	391328	77392
Mt Shasta California	Empire Pass Utah	1218142	232814
Hwy 190 California	Mt Equinox Vermont	5098219	957355
Hwy 157 Mt Charleston Nevada	Mt Shasta California	975220	177402
Hwy 157 Mt Charleston Nevada	Mt Harrision Idaho	806815	144817
N4/Table Mt California	Hwy 157-158 Nevada	420807	76921
Trail Ridge Rd Colorado	Parks Creek East California	1910677	376474
Refugio Rd California	Big Cottonwood Canyon Utah	1332492	252413
Hwy 21-245-180-198 California	Mt Harrision Idaho	1103291	238307
Townes Pass West California	Onion Valley Rd California	114885	21881
Balch Park Rd California	Kolob Terrace Rd Utah	940605	186967
Left Hand Canyon Colorado	Beartooth Pass North Montana	822066	158275
East Portal Colorado	Onion Valley Rd California	1441879	297468
Hwy 21-Whittaker Forest California	Mt Auscutney Vermont	5234786	985056
Beartooth Pass North Montana	Daylight Pass Rd California	1455353	287512
Lone Pine-Table Mountain California	Kolob Terrace Rd Utah	674922	134888
Onion Valley Rd California	Breckenridge Rd East California	231526	45512
Death Valley Rd East California	Mt Harrision Idaho	855753	157106
Refugio Rd California	Breckenridge Rd East California	339618	77193
Shirley Meadows California	Rock Creek California	311868	60902
Refugio Rd California	Mission Ridge Washington	1928996	379283
Breckenridge Rd East California	Hwy 39-Dawson's Saddle California	279229	66184
Mission Ridge Washington	Onion Valley Rd California	1496258	282262
Townes Pass West California	Horseshoe Meadows Rd California	89547	17669
Mt Equinox Vermont	Mt Lemmon Arizona	4284697	790561
Burke Mt Vermont	Elkhorn Summit Oregon	4759437	899352
Hwy 143 Utah	Hwy 157-158 Nevada	364546	73336
Hurricane Ridge Washington	Elkhorn Summit Oregon	733303	151115
Hwy 153 Utah	Little Cottonwood Canyon Utah	323782	62138
Wolf Creek Pass Colorado	Hwy 39-Dawson's Saddle California	1406833	276726
Bear Creek Road California	Dantes View California	399035	91641
Emigrant Pass East California	Tollhouse Rd California	545968	112902
Emigrant Pass East California	Lone Pine-Table Mountain California	299581	65116
Pikes Peak Colorado	Dantes View California	1569971	306548
Hwy 153 Utah	Hwy 14 West Wyoming	1032415	201137
Rock Creek California	Elkhorn Summit Oregon	1044798	196628
Mt Graham Arizona	Beasore Rd California	1497859	282248
Trail Ridge Rd Colorado	Mt Spokane Washington	1692442	337310
Gibraltar Road Santa Barbara California	Hwy 39-Dawson's Saddle California	219311	41788
Wheeler Peak Nevada	Mt Lemmon Arizona	1134158	201934
Hwy 157 Mt Charleston Nevada	Left Hand Canyon Colorado	1397140	295982
Hwy 18-Waterman Canyon California	Empire Pass Utah	1161010	227821
Wolf Creek Pass Colorado	Lone Pine-Table Mountain California	1307059	251297
Mt Evans Colorado	Mt Harrision Idaho	1079177	219059
Mt Graham Arizona	N4/Table Mt California	1011717	182968
Hwy 31 West Utah	Dantes View California	765945	136864
Wheeler Peak Nevada	Wildrose California	541614	104582
Mission Ridge Washington	Whitney Portal California	1522384	286884
Hwy 330 California	Little Cottonwood Canyon Utah	1123624	217075
Palomar Mt California	Hwy 18 North California	228173	48653
Hwy 168 California	Wildrose California	479552	96362
Trail Ridge Rd Colorado	Hwy 153 Utah	958995	197840
Hwy 18-Waterman Canyon California	Mt Lemmon Arizona	762689	136929
Hurricane Ridge Washington	Whiteface Mt New York	4872415	917055
Nine Mile Rd California	Mt Ashland Oregon	1026115	190936
Magnolia Dr Colorado	Clingman's Dome Tennessee	2451550	470935
Mosquito Ridge Rd East California	Hwy 39-Dawson's Saddle California	897657	185833
Mission Ridge Washington	Parks Creek East California	854873	173747
Lake Sabrina California	Hwy 156-Lee Canyon Nevada	376849	74689
Mt Washington Auto Rd New Hampshire	Hwy 157 Mt Charleston Nevada	4873721	918178
Nate Harrison Grade California	Tollhouse Rd California	630228	129502
Mt Shasta California	Burke Mt Vermont	5164188	976566
Mosquito Ridge Rd East California	White Mountain California	458652	106861
Mt Lemmon Arizona	Empire Pass Utah	1182010	233981
Left Hand Canyon Colorado	Death Valley Rd East California	1502735	304800
Sonora Pass West California	Hwy 39-Dawson's Saddle California	681251	142567
Hwy 18-Waterman Canyon California	Mission Ridge Washington	1833952	348312
Hwy 14 Alt Route Wyoming	South Lake California	1576254	298481
Bear Creek Road California	Elkhorn Summit Oregon	1386445	276562
Mosquito Ridge Rd East California	Hurricane Ridge Washington	1385462	286570
Emigrant Pass East California	Guanella Pass Colorado	1439557	283866
Hurricane Ridge Washington	Whitney Portal California	1785425	336882
Bear Creek Road California	Powder Mountain Utah	1457786	284139
Sherman Pass West California	Mt Evans Colorado	1809583	368700
Cottonwood Pass Colorado	Mt Baldy California	1612375	317237
Hwy 153 Utah	Mt Auscutney Vermont	4341099	823643
Hwy 82 New Mexico	Rock Creek California	1730655	311695
Hwy 18-Waterman Canyon California	N4/Table Mt California	69404	17090
Cottonwood Pass Colorado	Onion Valley Rd California	1706793	332570
Hwy 143 Utah	Mission Ridge Washington	1546113	291288
Monitor Pass East California	Burke Mt Vermont	5024846	934858
Hurricane Ridge Washington	Parks Creek East California	997143	199817
Hwy 38-Valley of Falls California	Lone Pine-Table Mountain California	59310	13816
Pikes Peak Colorado	Gibraltar Road Santa Barbara California	1852139	358215
Independence Pass Colorado	Hwy 18 North California	1390170	274982
Mt Shasta California	Kolob Terrace Rd Utah	1150851	220254
East Portal Colorado	Mt Equinox Vermont	3662137	698776
Mineral King Rd California	Magnolia Dr Colorado	2039670	421478
Beasore Rd California	Dantes View California	475472	108971
Beartooth Pass North Montana	Gibraltar Road Santa Barbara California	2027014	387871
Mt Baldy California	Mix Canyon Fairfield California	880055	174919
Hwy 14 Alt Route Wyoming	Burke Mt Vermont	3566582	656801
Tollhouse Rd California	Mt Harrision Idaho	1077823	223914
Mt Baldy California	Mt Harrision Idaho	1267630	236227
Hwy 21-245-180-198 California	Hwy 31 West Utah	989361	227029
Glacier Lodge Rd California	South Lake California	30392	5058
Hwy 39-Crystal Lake Rd California	Mt Harrision Idaho	1302308	239128
Grand Mesa South Colorado	Guanella Pass Colorado	366546	87112
Hwy 14 West Wyoming	Nate Harrison Grade California	1914210	375245
Powder Mountain Utah	Gibraltar Road Santa Barbara California	1390356	263357
Trail Ridge Rd Colorado	Left Hand Canyon Colorado	50715	11636
Lake Sabrina California	Whitney Portal California	98463	17874
Hwy 330 California	Daylight Pass Rd California	353382	73552
Shirley Meadows California	Guanella Pass Colorado	1753190	364281
Guardsman Pass Utah	Lake Sabrina California	924048	171388
Mt Graham Arizona	Sandia Crest Hwy New Mexico	549626	116981
Mt Washington Auto Rd New Hampshire	Tollhouse Rd California	5477989	1035409
Mt Hood Oregon	Whitney Portal California	1269468	234991
Lone Pine-Table Mountain California	Dantes View California	340837	72480
Hwy 82 New Mexico	Slumgullion Pass West Colorado	744973	137835
Hurricane Ridge Washington	Mt Baldy California	2123297	403707
Left Hand Canyon Colorado	Palomar Mt California	1896585	379471
Shirley Meadows California	Parks Creek East California	1005183	202660
Sonora Pass West California	Mt Rose California	176954	39125
Hwy 157 Mt Charleston Nevada	Hwy 198 California	715854	138598
East Portal Colorado	Mt Harrision Idaho	946026	194598
Wheeler Peak Nevada	Mt Spokane Washington	1315436	253116
Left Hand Canyon Colorado	Onion Valley Rd California	1565925	327506
Mt Graham Arizona	Clingman's Dome Tennessee	2902111	543823
Magnolia Dr Colorado	Hurricane Ridge Washington	2433080	476858
Wheeler Peak Nevada	South Lake California	585706	108561
Glacier Lodge Rd California	Death Valley Rd East California	52300	13905
Burke Mt Vermont	Parks Creek East California	5280057	994163
Mt Rose California	White Mountain California	338325	70257
Glacier Lodge Rd California	Sonora Pass West California	236169	55554
Wolf Creek Pass Colorado	Death Valley Rd East California	1402785	278726
Left Hand Canyon Colorado	Mt Rose California	1744891	331499
Elkhorn Summit Oregon	Etna Summit West California	858165	174050
Hwy 14 Alt Route Wyoming	Mix Canyon Fairfield California	1748989	336015
South Lake California	Pine Creek Rd California	16974	3304
Lone Pine-Table Mountain California	Mix Canyon Fairfield California	783827	151885
Sonora Pass West California	Hwy 21-Whittaker Forest California	417767	91338
South Lake California	Big Cottonwood Canyon Utah	882950	165567
Burke Mt Vermont	Whitney Portal California	5161675	957092
Tollhouse Rd California	Sandia Crest Hwy New Mexico	1590170	312026
Magnolia Dr Colorado	Mt Rose California	1571461	325696
Bear Creek Road California	Hwy 157-158 Nevada	676155	129856
Etna Summit West California	White Mountain California	830795	171535
N4/Table Mt California	Mt Baldy California	91017	22135
Trail Ridge Rd Colorado	Etna Summit West California	2086510	415288
Wheeler Peak Nevada	Rock Creek California	592873	110774
Magnolia Dr Colorado	Beasore Rd California	1724990	365982
Shirley Meadows California	Hwy 190 California	115660	29530
Mt Rose California	Nine Mile Rd California	491458	98371
Hwy 82 New Mexico	Pikes Peak Colorado	853500	153990
Townes Pass West California	Nate Harrison Grade California	405709	81342
Hwy 18-Waterman Canyon California	Hwy 180 West California	468212	96825
Hwy 198 California	Hwy 157-158 Nevada	715854	138598
Balch Park Rd California	Whitney Portal California	320474	70071
Pikes Peak Colorado	Grand Mesa South Colorado	403847	93551
Hwy 31 West Utah	Big Cottonwood Canyon Utah	154001	31899
Left Hand Canyon Colorado	Hwy 18 North California	1775558	349691
Hwy 330 California	Nate Harrison Grade California	119264	24316
Mosquito Ridge Rd East California	Hwy 21-245-180-198 California	518210	107293
Portuguese Pass California	Hwy 156-Lee Canyon Nevada	487384	106249
Hwy 18-Waterman Canyon California	Sonora Pass West California	622467	121162
South Lake California	Mt Baldy California	436315	84692
Balch Park Rd California	Empire Pass Utah	1366244	264269
Guardsman Pass Utah	Hwy 39-Crystal Lake Rd California	1219383	236030
Burke Mt Vermont	Pine Creek Rd California	5031880	940646
Hwy 82 New Mexico	Hwy 18 North California	1301119	233833
Mineral King Rd California	Mix Canyon Fairfield California	465012	89200
Slumgullion Pass West Colorado	Hwy 14 West Wyoming	985790	206313
Hwy 190 California	Empire Pass Utah	1365816	267290
Sherman Pass West California	Rock Creek California	335482	65213
Mt Shasta California	Hwy 143 Utah	1135554	209967
Left Hand Canyon Colorado	Horseshoe Meadows Rd California	1598520	333307
Hwy 157 Mt Charleston Nevada	Beartooth Pass North Montana	1426923	276158
Mt Lemmon Arizona	Hwy 18 North California	745573	134246
Palomar Mt California	Mt Evans Colorado	1727433	343451
Emigrant Pass East California	Grand Mesa North Colorado	1097402	214013
Bear Creek Road California	Daylight Pass Rd California	370302	86618
Lake Sabrina California	Hwy 198 California	263930	88363
Townes Pass East California	Mt Harrision Idaho	827183	150325
Lake Sabrina California	Trail Ridge Rd Colorado	1570865	312688
Mt Spokane Washington	Guanella Pass Colorado	1758942	338956
Guardsman Pass Utah	Nate Harrison Grade California	1194219	231197
Palomar Mt California	Mt Baldy California	139661	27327
South Lake California	Dantes View California	232483	47372
Mt Graham Arizona	Mt Evans Colorado	1278570	241010
Trail Ridge Rd Colorado	Burke Mt Vermont	3467354	646073
Hwy 31 West Utah	Hwy 39-Dawson's Saddle California	1161332	230961
Pikes Peak Colorado	Beasore Rd California	2079742	411336
Tollhouse Rd California	Big Cottonwood Canyon Utah	1087154	228789
Hwy 157 Mt Charleston Nevada	Parks Creek East California	1005486	185429
Sonora Pass West California	Mt Harrision Idaho	929635	179189
Hwy 14 West Wyoming	Grand Mesa North Colorado	774467	149269
Rock Creek California	Hwy 153 Utah	691509	130603
Mosquito Ridge Rd East California	Hwy 330 California	886346	183077
Hwy 14 Alt Route Wyoming	Gibraltar Road Santa Barbara California	2035532	389752
Townes Pass West California	Hwy 198 California	376572	83772
Trail Ridge Rd Colorado	Horseshoe Meadows Rd California	1593146	322676
Beasore Rd California	Hwy 156-Lee Canyon Nevada	627623	137841
Rock Creek California	Mt Hood Oregon	1117036	216876
Mt Washington Auto Rd New Hampshire	Sonora Pass West California	5174768	977436
Shirley Meadows California	Mt Baldy California	308024	65324
Elkhorn Summit Oregon	Hwy 180 West California	1280320	257173
Mineral King Rd California	Onion Valley Rd California	187230	74998
Powder Mountain Utah	Mt Auscutney Vermont	3968320	743681
Hwy 168 California	Beasore Rd California	46254	10830
East Portal Colorado	N4/Table Mt California	1269093	247329
Balch Park Rd California	Hwy 180 West California	112903	24215
Guardsman Pass Utah	Wolf Creek Pass Colorado	768735	161240
Hwy 38-Valley of Falls California	Etna Summit West California	1282983	266311
Beartooth Pass North Montana	Hwy 39-Dawson's Saddle California	1948250	375896
Mt Shasta California	White Mountain California	705779	141554
Powder Mountain Utah	Palomar Mt California	1283682	248681
Hwy 18-Waterman Canyon California	Mt Shasta California	1083349	214671
Monitor Pass East California	Mt Lemmon Arizona	1345655	249988
Rock Creek California	Daylight Pass Rd California	219939	45068
Mt Spokane Washington	Hwy 156-Lee Canyon Nevada	1643329	313431
Hwy 157 Mt Charleston Nevada	Palomar Mt California	519372	101124
Lake Sabrina California	Mt Spokane Washington	1482523	280904
Palomar Mt California	Mix Canyon Fairfield California	1015834	204375
Shirley Meadows California	Elkhorn Summit Oregon	1320560	249945
Monitor Pass East California	Nate Harrison Grade California	733373	147654
Mt Hood Oregon	Hwy 31 West Utah	1406960	267108
Shirley Meadows California	Hwy 39-Dawson's Saddle California	298947	65423
Mix Canyon Fairfield California	Grand Mesa North Colorado	1624383	324339
Townes Pass East California	Kolob Terrace Rd Utah	533694	111523
Horseshoe Meadows Rd California	Whiteface Mt New York	4962442	924983
Guardsman Pass Utah	Sherman Pass West California	1176931	234756
Mt Hood Oregon	Hwy 18 North California	1569837	289266
Hwy 180 West California	Whitney Portal California	166215	68417
Mt Rose California	Mt Ashland Oregon	498750	95724
Mt Shasta California	Hwy 168 California	771273	148536
