waypoint1	waypoint2	distance_m	duration_s
Townes Pass West, CA	Elkhorn Summit, OR	1182577	224870
Mt Equinox, VT	Rock Creek, CA	4931183	932186
Parks Creek East, CA	Hwy 156-158, NV	4689398	887292
Shirley Meadows, CA	Magnolia Dr, CO	1793796	378626
Big Cottonwood Canyon, UT	Hwy 39-Crystal Lake Rd, CA	1228521	243804
Shirley Meadows, CA	Horseshoe Meadows Rd, CA	210816	45967
Beartooth Pass North, MT	Gibraltar Road, Santa Barbara, CA	1967675	374884
Guanella Pass, CO	Sonora Pass West, CA	1649474	334609
Powder Mountain, UT	Hwy 39-Crystal Lake Rd, CA	1337727	265939
Mt Lemmon, AZ	Wildrose, CA	3170474	613632
Hwy 18-Waterman Canyon, CA	Grand Mesa North, CO	1376078	281603
Big Cottonwood Canyon, UT	Mt Shasta, CA	1138136	215608
Hwy 153, UT	White Mountain, CA	646061	129184
Hwy 156-Lee Canyon, NV	Beasore Rd, CA	656209	144847
Mt Ashland, OR	Beartooth Pass North, MT	1514628	294339
Sherman Pass West, CA	Magnolia Dr, CO	1662702	355523
Mix Canyon, Fairfield	East Portal, CO	1842900	370413
Monitor Pass East, CA	Mission Ridge, WA	1226118	247734
Whitaker Forest Road, Badger, California	Gibraltar Road, Santa Barbara, CA	328227	86391
Mission Ridge, WA	Lake Sabrina, CA	1479028	284509
Valley of the Falls Dr, Forest Falls, CA 92339	Townes Pass West, CA	346478	72016
Kolob Terrace Rd, UT	Nine Mile Rd, CA	4264182	803893
Mt Equinox, VT	Hwy 18-Waterman Canyon, CA	4869936	918860
Grand Mesa South, CO	Hwy 14 Alt Route, WY	484389	106306
Whitney Portal, CA	Mt Hood, OR	1283494	250883
Dawson's Saddle, CA	Bear Creek Road, CA	716311	144037
Death Valley Rd East, CA	Mt Evans, CO	1508560	302161
Hwy 330, CA	Beasore Rd, CA	618232	134802
Wildrose, CA	South Lake, CA	2691594	521605
Portuguese Pass, CA	Mt Shasta, CA	956818	191794
Mt Ashland, OR	Wolf Creek Pass, CO	2044934	395044
Mt Auscutney, VT	Empire Pass, UT	3995178	750789
Rock Creek, CA	Mt Rose, CA	226973	56544
Wildrose, CA	White Mountain, CA	2453644	472537
Mt Rose, CA	Empire Pass, UT	939190	186258
Valley of the Falls Dr, Forest Falls, CA 92339	Rock Creek, CA	1012401	204519
Hwy 168, CA	Hwy 143, UT	613068	121957
South Lake, CA	Bear Creek Road, CA	505483	110702
Burke Mt, VT	Nine Mile Rd, CA	355596	69347
N4/Table Mt, CA	Whitaker Forest Road, Badger, California	2317425	452317
Mt Harrision, ID	Balch Park Rd, CA	1267023	264455
Big Cottonwood Canyon, UT	Aspen, Colorado	682927	145786
Cajon Junction, California 92371	Hwy 14 West, WY	1703637	335404
Monitor Pass East, CA	Guanella Pass, CO	1609809	327306
Hwy 14 Alt Route, WY	Mt Rose, CA	1612462	305418
Mineral King Rd, CA	Aspen, Colorado	1774200	364882
Hwy 330, CA	Magnolia Dr, CO	1709322	360161
Wildrose, CA	Mt Baldy, CA	2929652	555560
Burke Mt, VT	Beartooth Pass North, MT	3585874	661621
Hwy 168, CA	Etna Summit West, CA	859062	168738
Hwy 39-Crystal Lake Rd, CA	Daylight Pass Rd, CA	439936	92089
Mt Equinox, VT	Elkhorn Summit, OR	4554970	876313
Guardsman Pass, UT	Mt Spokane, WA	1298808	251359
N4/Table Mt, CA	Death Valley Rd East, CA	1812355	351015
Kolob Terrace Rd, UT	Balch Park Rd, CA	967058	197061
Shirley Meadows, CA	Hurricane Ridge, WA	2021735	400929
Big Cottonwood Canyon, UT	Clingman's Dome, TN	3291663	649094
Hwy 198, CA	Etna Summit West, CA	860623	182598
Cajon Junction, California 92371	Cottonwood Pass, CO	1426185	283437
Hwy 39-Crystal Lake Rd, CA	Clingman's Dome, TN	3976234	769011
Hwy 190, CA	Monitor Pass East, CA	354911	75535
Nine Mile Rd, CA	Bear Creek Road, CA	5072147	959219
Portuguese Pass, CA	La Luz, NM	1602883	297335
Wheeler Peak, NV	Mt Rose, CA	659665	133066
Slumgullion Pass West, CO	Sonora Pass West, CA	1503509	307592
Little Cottonwood Canyon, UT	Mosquito Ridge Rd East, CA	1027717	206566
Valley of the Falls Dr, Forest Falls, CA 92339	Sandia Crest Hwy, NM	1225614	240948
Sherman Pass West, CA	Mt Washington Auto Rd, NH	5279769	1005211
Townes Pass East, CA	Mt Hood, OR	1346549	266251
Mt Baldy, CA	Mt Spokane, WA	1934126	371839
Hwy 330, CA	Beartooth Pass North, MT	1808010	346328
Bear Creek Road, CA	Death Valley Rd East, CA	619248	139759
Left Hand Canyon, CO	Mt Spokane, WA	1797738	347657
Big Cottonwood Canyon, UT	Death Valley Rd East, CA	804885	151848
Mt Washington Auto Rd, NH	Onion Valley Rd, CA	5234714	996353
Kolob Terrace Rd, UT	Wildrose, CA	2379690	456054
Breckenridge Rd East, CA	Mt Hood, OR	1519068	302384
Grand Mesa South, CO	Sandia Crest Hwy, NM	607605	132271
Hwy 156-Lee Canyon, NV	Trail Ridge Rd, CO	1411092	286888
Cajon Junction, California 92371	Hwy 39-Crystal Lake Rd, CA	120392	26423
Pikes Peak, CO	Dantes View, CA	1594142	321221
Palomar Mt, CA	Mt Washington Auto Rd, NH	5154048	968593
Nine Mile Rd, CA	Mt Graham, AZ	4038529	738010
Hwy 14 West, WY	Horseshoe Meadows Rd, CA	1558003	309805
Hwy 157 (Mt Charleston), NV	Hurricane Ridge, WA	1963685	379135
Mt Graham, AZ	Mt Shasta, CA	1840296	345636
Nine Mile Rd, CA	Emigrant Pass East, CA	4540024	844622
La Luz, NM	Little Cottonwood Canyon, UT	1231089	235917
Cottonwood Pass, CO	Sonora Pass West, CA	1586058	322834
Sonora Pass West, CA	Magnolia Dr, CO	1631207	334719
Daylight Pass Rd, CA	Mt Hood, OR	1307368	257079
Dantes View, CA	Horseshoe Meadows Rd, CA	218137	50487
Townes Pass East, CA	Lake Sabrina, CA	223243	45530
Hwy 14 West, WY	Nate Harrison Grade, CA	1827791	367806
Hwy 198, CA	La Luz, NM	1789835	334587
Hwy 168, CA	N4/Table Mt, CA	1814194	350702
Slumgullion Pass West, CO	Horseshoe Meadows Rd, CA	1411511	299297
Etna Summit West, CA	Mt Baldy, CA	1293779	269247
Mt Shasta, CA	Mission Ridge, WA	837197	171021
Sherman Pass West, CA	Cajon Junction, California 92371	277361	56587
Onion Valley Rd, CA	Daylight Pass Rd, CA	186196	40726
Parks Creek East, CA	Hwy 18-Waterman Canyon, CA	1103325	218727
Mix Canyon, Fairfield	Hwy 157-158, NV	885508	175320
Hwy 14 West, WY	Cottonwood Pass, CO	407300	87824
Burke Mt, VT	Refugio Rd, CA	5301115	986416
Mt Graham, AZ	Hurricane Ridge, WA	2835744	543306
Kolob Terrace Rd, UT	Nate Harrison Grade, CA	805342	167795
Kolob Terrace Rd, UT	Mt Rose, CA	850035	165849
Rock Creek, CA	Hwy 14 Alt Route, WY	1743404	328140
Powder Mountain, UT	Magnolia Dr, CO	893936	173340
Hwy 198, CA	Cajon Junction, California 92371	437148	90967
Sherman Pass West, CA	Big Cottonwood Canyon, UT	1115114	213457
Hwy 157 (Mt Charleston), NV	Beartooth Pass North, MT	1393190	264886
Monitor Pass East, CA	Parks Creek East, CA	493122	95637
La Luz, NM	Mt Washington Auto Rd, NH	4013646	750700
Hwy 143, UT	Beartooth Pass North, MT	1146689	220794
Dawson's Saddle, CA	White Mountain, CA	427083	85912
Trail Ridge Rd, CO	South Lake, CA	1752544	358868
Mt Graham, AZ	Emigrant Pass East, CA	860437	167051
Hwy 18 North, CA	Bear Creek Road, CA	4655498	894485
Mt Lemmon, AZ	Empire Pass, UT	1240871	253539
Left Hand Canyon, CO	Mt Shasta, CA	1990266	381368
Beasore Rd, CA	Horseshoe Meadows Rd, CA	359089	90734
Daylight Pass Rd, CA	Hwy 18-Waterman Canyon, CA	350196	74975
Mt Graham, AZ	Townes Pass West, CA	1050375	206697
Monitor Pass East, CA	Townes Pass West, CA	417500	85804
Hwy 198, CA	Elkhorn Summit, OR	1214555	260939
Valley of the Falls Dr, Forest Falls, CA 92339	Emigrant Pass East, CA	424951	82109
Cajon Junction, California 92371	Horseshoe Meadows Rd, CA	280902	50948
Refugio Rd, CA	Palomar Mt, CA	426338	85959
Hwy 330, CA	Whiteface Mt, NY	4863758	911480
Mt Shasta, CA	Lake Sabrina, CA	694901	139626
Wildrose, CA	Hurricane Ridge, WA	1203644	247147
Guardsman Pass, UT	Left Hand Canyon, CO	697575	160139
Cottonwood Pass, CO	Hwy 18-Waterman Canyon, CA	1450952	302114
Hwy 143, UT	Gibraltar Road, Santa Barbara, CA	981916	194579
Powder Mountain, UT	Left Hand Canyon, CO	870535	166688
Guardsman Pass, UT	Magnolia Dr, CO	677807	154607
Guanella Pass, CO	Gibraltar Road, Santa Barbara, CA	1899534	380281
Mt Graham, AZ	Beasore Rd, CA	1425536	285016
Hwy 180 West, CA	Empire Pass, UT	1431755	276220
Onion Valley Rd, CA	Grand Mesa North, CO	1269746	259945
Rock Creek, CA	Hwy 180 West, CA	526227	101349
Burke Mt, VT	Hwy 18 North, CA	1667205	340944
Hwy 180 West, CA	Townes Pass East, CA	468044	93708
Hwy 168, CA	Whitney Portal, CA	101714	22896
Mt Equinox, VT	Mt Shasta, CA	4951427	944868
Sherman Pass West, CA	Gibraltar Road, Santa Barbara, CA	401208	83670
Hwy 190, CA	Refugio Rd, CA	424710	78637
Cajon Junction, California 92371	Mt Shasta, CA	1044479	201991
Clingman's Dome, TN	Horseshoe Meadows Rd, CA	3983633	768281
Wildrose, CA	Hwy 157-158, NV	2448360	463527
Hwy 39-Crystal Lake Rd, CA	Little Cottonwood Canyon, UT	1226947	243470
Balch Park Rd, CA	Aspen, Colorado	1739471	350132
Hwy 18 North, CA	Gibraltar Road, Santa Barbara, CA	4292128	821942
Monitor Pass East, CA	Mt Spokane, WA	1345295	262163
Hwy 21-245-180-198, CA	Horseshoe Meadows Rd, CA	478244	128017
Mt Lemmon, AZ	Mt Auscutney, VT	4440039	828165
Townes Pass West, CA	Townes Pass East, CA	0	0
Cottonwood Pass, CO	Gibraltar Road, Santa Barbara, CA	1638132	339316
Hwy 14 Alt Route, WY	Magnolia Dr, CO	209284	43871
Sonora Pass West, CA	Mosquito Ridge Rd East, CA	266210	63440
Hurricane Ridge, WA	Gibraltar Road, Santa Barbara, CA	2142498	425501
Mt Graham, AZ	Wolf Creek Pass, CO	804698	174897
Mt Lemmon, AZ	Grand Mesa North, CO	1182402	250697
Hwy 330, CA	Wildrose, CA	2887012	548800
Hwy 157 (Mt Charleston), NV	La Luz, NM	1136022	217482
Bear Creek Road, CA	Wolf Creek Pass, CO	1911319	380861
Pikes Peak, CO	Big Cottonwood Canyon, UT	892948	184804
Hwy 157-158, NV	Death Valley Rd East, CA	329279	61065
Grand Mesa South, CO	Elkhorn Summit, OR	1503086	295800
Parks Creek East, CA	Wolf Creek Pass, CO	1944442	370331
Nine Mile Rd, CA	Horseshoe Meadows Rd, CA	4807773	888373
Wheeler Peak, NV	Hurricane Ridge, WA	1672617	332157
Nine Mile Rd, CA	Left Hand Canyon, CO	3132700	589664
Mt Auscutney, VT	Mt Hood, OR	5170760	992152
Hwy 14 West, WY	Little Cottonwood Canyon, UT	729148	143350
Big Cottonwood Canyon, UT	Nate Harrison Grade, CA	1206555	238181
Hwy 198, CA	Death Valley Rd East, CA	214693	72041
Hwy 198, CA	Hwy 156-158, NV	4243826	818256
Hwy 190, CA	Palomar Mt, CA	433026	86906
Wheeler Peak, NV	Bear Creek Road, CA	1069305	228094
East Portal, CO	Gibraltar Road, Santa Barbara, CA	1936785	395735
N4/Table Mt, CA	Grand Mesa North, CO	1709943	321119
Death Valley Rd East, CA	Empire Pass, UT	830415	157746
Sonora Pass West, CA	Townes Pass East, CA	388372	79293
Townes Pass West, CA	White Mountain, CA	230403	50384
La Luz, NM	Whitney Portal, CA	1632322	295560
Powder Mountain, UT	Hwy 14 West, WY	691799	131102
South Lake, CA	Glacier Lodge Rd, CA	248250	50460
Hwy 198, CA	Sonora Pass West, CA	398045	92934
Hwy 198, CA	Clingman's Dome, TN	4197194	816906
Mt Lemmon, AZ	Balch Park Rd, CA	1213934	234358
Onion Valley Rd, CA	Hwy 14 Alt Route, WY	1528344	304567
Glacier Lodge Rd, CA	Pine Creek Rd, CA	1988614	382796
La Luz, NM	Shirley Meadows, CA	1595156	294835
Mt Baldy, CA	Mt Auscutney, VT	4998936	939306
Hwy 143, UT	Nate Harrison Grade, CA	887947	186332
Valley of the Falls Dr, Forest Falls, CA 92339	Mt Harrision, ID	1235170	228470
Glacier Lodge Rd, CA	Nate Harrison Grade, CA	515612	105090
South Lake, CA	Dantes View, CA	311554	68200
Mt Washington Auto Rd, NH	Little Cottonwood Canyon, UT	4254330	804344
Mt Graham, AZ	Horseshoe Meadows Rd, CA	1133867	218854
Grand Mesa South, CO	Aspen, Colorado	198791	47334
Dawson's Saddle, CA	Grand Mesa North, CO	1429263	290650
Slumgullion Pass West, CO	Mt Auscutney, VT	3755933	710896
Rock Creek, CA	Hwy 18-Waterman Canyon, CA	975868	197544
Wildrose, CA	Cajon Junction, California 92371	2837579	533678
Palomar Mt, CA	Bear Creek Road, CA	886108	191662
Left Hand Canyon, CO	Hwy 14 Alt Route, WY	185883	37218
Hwy 330, CA	Mt Baldy, CA	73538	16873
Burke Mt, VT	Mt Washington Auto Rd, NH	94488	22025
Mosquito Ridge Rd East, CA	Hwy 18-Waterman Canyon, CA	906279	190820
Mix Canyon, Fairfield	Death Valley Rd East, CA	558262	126771
Whitaker Forest Road, Badger, California	Mt Auscutney, VT	5252785	992459
Magnolia Dr, CO	Mission Ridge, WA	2072337	404367
Hwy 190, CA	Cottonwood Pass, CO	1549560	329521
Valley of the Falls Dr, Forest Falls, CA 92339	Beartooth Pass North, MT	1797774	342465
Nate Harrison Grade, CA	Mt Evans, CO	1769077	361952
Mt Washington Auto Rd, NH	Hwy 14 Alt Route, WY	3537899	667307
Mt Graham, AZ	Cottonwood Pass, CO	1171149	226480
Mt Spokane, WA	Mission Ridge, WA	357086	72182
Portuguese Pass, CA	Townes Pass East, CA	252871	58834
Hwy 198, CA	Grand Mesa South, CO	1372303	307942
Mix Canyon, Fairfield	Townes Pass East, CA	665296	145276
Etna Summit West, CA	Mt Auscutney, VT	5213589	1000394
Monitor Pass East, CA	Beasore Rd, CA	270408	71542
Hwy 14 Alt Route, WY	Pine Creek Rd, CA	1590473	287315
Pikes Peak, CO	Portuguese Pass, CA	1815324	368282
Aspen, Colorado	Nate Harrison Grade, CA	1521405	311406
Mt Harrision, ID	Sonora Pass West, CA	881706	174316
Whiteface Mt, NY	Hwy 18-Waterman Canyon, CA	4876858	917598
Hwy 198, CA	Guanella Pass, CO	1664366	370048
Hwy 198, CA	Hwy 143, UT	790764	188127
Hwy 14 West, WY	Emigrant Pass East, CA	1431246	285541
Valley of the Falls Dr, Forest Falls, CA 92339	Tollhouse Rd, CA	560456	117382
Hwy 157 (Mt Charleston), NV	Hwy 156-158, NV	3717470	714413
Cottonwood Pass, CO	Mt Washington Auto Rd, NH	3767745	722927
Mineral King Rd, CA	Hwy 21-245-180-198, CA	377173	76754
Mt Graham, AZ	Empire Pass, UT	1157404	248181
Bear Creek Road, CA	Horseshoe Meadows Rd, CA	506211	137242
Burke Mt, VT	Hwy 143, UT	4531312	842474
Hwy 190, CA	Hwy 153, UT	659335	137335
Mt Ashland, OR	Hwy 14 Alt Route, WY	1929431	369858
Pine Creek Rd, CA	Elkhorn Summit, OR	1071505	217866
Little Cottonwood Canyon, UT	Hwy 156-158, NV	3685706	713042
Trail Ridge Rd, CO	Townes Pass East, CA	1461627	297897
Hwy 330, CA	N4/Table Mt, CA	2268166	433709
Emigrant Pass East, CA	Elkhorn Summit, OR	1260705	231733
Hwy 180 West, CA	Sandia Crest Hwy, NM	1547119	308978
Hwy 153, UT	Mt Evans, CO	971630	216180
Hwy 156-158, NV	Empire Pass, UT	3663077	715253
Hwy 21-245-180-198, CA	Hwy 14 Alt Route, WY	2007151	381962
Clingman's Dome, TN	Mission Ridge, WA	4398273	853453
Refugio Rd, CA	Mission Ridge, WA	1891470	371887
Hwy 143, UT	Mt Graham, AZ	826275	184790
Whitaker Forest Road, Badger, California	Aspen, Colorado	1761373	359166
Parks Creek East, CA	Mosquito Ridge Rd East, CA	473609	104375
Etna Summit West, CA	Mt Hood, OR	597636	132873
Guanella Pass, CO	Empire Pass, UT	694450	154248
Mt Lemmon, AZ	Mission Ridge, WA	2500565	469761
Refugio Rd, CA	Sonora Pass West, CA	666060	138701
Portuguese Pass, CA	Daylight Pass Rd, CA	301753	67066
Monitor Pass East, CA	Emigrant Pass East, CA	593612	109738
Hurricane Ridge, WA	Tollhouse Rd, CA	1788572	353794
Guanella Pass, CO	Cajon Junction, California 92371	1688536	325426
Wildrose, CA	Breckenridge Rd East, CA	3022152	589531
Mineral King Rd, CA	White Mountain, CA	317662	108320
Dantes View, CA	Nate Harrison Grade, CA	503116	104987
Townes Pass West, CA	Dantes View, CA	106108	24116
Mt Baldy, CA	Aspen, Colorado	1507525	306013
Powder Mountain, UT	Hwy 157-158, NV	822725	154125
Pikes Peak, CO	Palomar Mt, CA	1714600	337366
N4/Table Mt, CA	Gibraltar Road, Santa Barbara, CA	2427831	462266
Etna Summit West, CA	Bear Creek Road, CA	647312	144673
Rock Creek, CA	Hwy 143, UT	1023283	207544
Beartooth Pass North, MT	Lake Sabrina, CA	1494218	284402
East Portal, CO	Mt Rose, CA	1586353	322117
Sherman Pass West, CA	Tollhouse Rd, CA	278922	64718
Mt Shasta, CA	Beartooth Pass North, MT	1410171	279529
Rock Creek, CA	Nate Harrison Grade, CA	1098226	220980
Palomar Mt, CA	Horseshoe Meadows Rd, CA	449948	90638
Hwy 153, UT	Lake Sabrina, CA	729674	139857
La Luz, NM	Parks Creek East, CA	2111536	394673
Mt Ashland, OR	Daylight Pass Rd, CA	975905	189454
Nine Mile Rd, CA	Tollhouse Rd, CA	5078598	950630
Grand Mesa South, CO	White Mountain, CA	1215000	249064
Guanella Pass, CO	Mission Ridge, WA	2045060	407024
Kolob Terrace Rd, UT	Dantes View, CA	499445	106210
Trail Ridge Rd, CO	Mt Washington Auto Rd, NH	3574572	684512
Hwy 156-Lee Canyon, NV	Whiteface Mt, NY	4681669	876261
Guanella Pass, CO	White Mountain, CA	1507064	311170
Hwy 143, UT	Whitaker Forest Road, Badger, California	1087292	223609
Burke Mt, VT	Etna Summit West, CA	5338017	1009624
Mt Lemmon, AZ	East Portal, CO	1497501	298766
Powder Mountain, UT	Townes Pass East, CA	936331	181084
Slumgullion Pass West, CO	Mt Hood, OR	1966127	401986
Balch Park Rd, CA	Magnolia Dr, CO	2021136	410240
Glacier Lodge Rd, CA	Mt Hood, OR	1216791	238894
Hwy 330, CA	Mt Harrision, ID	1245896	238270
Burke Mt, VT	Hwy 157 (Mt Charleston), NV	4856919	900968
Guardsman Pass, UT	Townes Pass East, CA	854279	165097
Monitor Pass East, CA	Mt Rose, CA	105854	25150
Valley of the Falls Dr, Forest Falls, CA 92339	Cottonwood Pass, CO	1425799	286161
Aspen, Colorado	Hwy 14 Alt Route, WY	403661	83757
Pine Creek Rd, CA	Beartooth Pass North, MT	987150	189453
Etna Summit West, CA	Beartooth Pass North, MT	1585930	312844
Mineral King Rd, CA	Hwy 18-Waterman Canyon, CA	470335	104400
Mineral King Rd, CA	Beartooth Pass North, MT	1837193	374525
Breckenridge Rd East, CA	Mt Washington Auto Rd, NH	5249513	994908
Daylight Pass Rd, CA	Wolf Creek Pass, CO	1278101	246646
South Lake, CA	Mission Ridge, WA	1712609	329036
Townes Pass West, CA	Hwy 31 West, UT	859311	166345
Mt Lemmon, AZ	Mt Hood, OR	2261305	429747
Burke Mt, VT	Rock Creek, CA	5164114	967871
Big Cottonwood Canyon, UT	Mt Rose, CA	908026	177294
Mt Harrision, ID	Portuguese Pass, CA	1119010	221421
Refugio Rd, CA	Tollhouse Rd, CA	426085	89208
Hwy 190, CA	Mt Auscutney, VT	5035556	944873
Left Hand Canyon, CO	Death Valley Rd East, CA	1484668	301398
Burke Mt, VT	Mt Auscutney, VT	182535	42043
Balch Park Rd, CA	Beartooth Pass North, MT	1871435	375261
Pikes Peak, CO	Mt Evans, CO	193055	53142
La Luz, NM	Aspen, Colorado	852477	163521
Grand Mesa South, CO	Mt Auscutney, VT	3772482	734195
Sherman Pass West, CA	Empire Pass, UT	1049217	218086
Death Valley Rd East, CA	Sandia Crest Hwy, NM	1291923	253855
Mix Canyon, Fairfield	Hwy 21-245-180-198, CA	174200	35645
Nine Mile Rd, CA	Mission Ridge, WA	4245969	792725
Glacier Lodge Rd, CA	Wolf Creek Pass, CO	1458727	291337
Mt Ashland, OR	Parks Creek East, CA	95628	24061
Wildrose, CA	Mt Spokane, WA	946379	191440
Hwy 198, CA	Cottonwood Pass, CO	1754556	365131
Death Valley Rd East, CA	East Portal, CO	1434037	285944
Palomar Mt, CA	Mt Baldy, CA	163166	37406
Hwy 14 Alt Route, WY	Death Valley Rd East, CA	1422958	278327
Powder Mountain, UT	Pine Creek Rd, CA	1355106	257551
La Luz, NM	Mt Ashland, OR	2212028	419386
Hwy 168, CA	Hwy 330, CA	426051	87273
Etna Summit West, CA	Tollhouse Rd, CA	799174	170126
Mission Ridge, WA	Hwy 156-158, NV	4623580	893031
Hwy 180 West, CA	Little Cottonwood Canyon, UT	1168544	237632
Pikes Peak, CO	Breckenridge Rd East, CA	1810064	363681
Hwy 31 West, UT	Empire Pass, UT	206721	46884
Palomar Mt, CA	Whitaker Forest Road, Badger, California	581988	124707
Hwy 143, UT	Onion Valley Rd, CA	688207	140131
Tollhouse Rd, CA	Mission Ridge, WA	1592717	315880
Nate Harrison Grade, CA	Whitney Portal, CA	456942	89973
Grand Mesa South, CO	N4/Table Mt, CA	1709943	321119
Whitaker Forest Road, Badger, California	Onion Valley Rd, CA	124022	58321
Etna Summit West, CA	Little Cottonwood Canyon, UT	1274657	244076
Elkhorn Summit, OR	Empire Pass, UT	950855	186705
Big Cottonwood Canyon, UT	Bear Creek Road, CA	1323893	266781
Burke Mt, VT	Clingman's Dome, TN	2089162	431749
Hwy 153, UT	Mosquito Ridge Rd East, CA	983355	193475
Parks Creek East, CA	Pine Creek Rd, CA	1613520	312843
Mineral King Rd, CA	Hwy 156-Lee Canyon, NV	785621	153980
Onion Valley Rd, CA	Gibraltar Road, Santa Barbara, CA	443865	83861
Horseshoe Meadows Rd, CA	Grand Mesa North, CO	1263855	262868
Mt Lemmon, AZ	Mt Evans, CO	1506198	293397
Balch Park Rd, CA	Beasore Rd, CA	283748	61494
Pine Creek Rd, CA	Wolf Creek Pass, CO	2100623	400716
Dawson's Saddle, CA	Hwy 14 Alt Route, WY	1754839	346072
Monitor Pass East, CA	Hwy 18-Waterman Canyon, CA	628521	130292
Hwy 18 North, CA	Hurricane Ridge, WA	5085496	980610
Mt Equinox, VT	Burke Mt, VT	259153	59173
Mineral King Rd, CA	Hwy 18 North, CA	4401155	848532
Wildrose, CA	Mt Washington Auto Rd, NH	4264188	786948
Whiteface Mt, NY	East Portal, CO	3305932	625468
Wildrose, CA	Hwy 31 West, UT	2152558	415904
Guanella Pass, CO	Mt Evans, CO	82220	22445
Portuguese Pass, CA	Mt Baldy, CA	340218	78166
Grand Mesa South, CO	Cajon Junction, California 92371	1354588	273178
Mt Ashland, OR	Beasore Rd, CA	910617	186387
Monitor Pass East, CA	Mt Hood, OR	939641	190513
Hwy 180 West, CA	Hwy 153, UT	1142167	230062
Cottonwood Pass, CO	Glacier Lodge Rd, CA	1458056	303558
Burke Mt, VT	Wheeler Peak, NV	4520118	843478
Mt Harrision, ID	Nine Mile Rd, CA	3959469	749634
Mt Washington Auto Rd, NH	Mt Evans, CO	3637905	699025
Hwy 168, CA	Hwy 18 North, CA	4200210	807059
Grand Mesa South, CO	Tollhouse Rd, CA	1735581	349386
Hwy 153, UT	Gibraltar Road, Santa Barbara, CA	1036182	208469
Wheeler Peak, NV	Onion Valley Rd, CA	599251	123715
Hwy 190, CA	Townes Pass West, CA	76448	20034
Mt Equinox, VT	Nine Mile Rd, CA	392042	77378
Guardsman Pass, UT	Trail Ridge Rd, CO	675669	145113
Wildrose, CA	Onion Valley Rd, CA	2500844	484327
Wheeler Peak, NV	Emigrant Pass East, CA	519446	95024
Mt Auscutney, VT	Elkhorn Summit, OR	4646909	897602
Mt Shasta, CA	Onion Valley Rd, CA	750779	149145
Mt Ashland, OR	Mt Baldy, CA	1240445	250354
Mt Graham, AZ	Lake Sabrina, CA	1248377	243603
Mix Canyon, Fairfield	Townes Pass West, CA	665296	145276
Rock Creek, CA	East Portal, CO	1763491	363448
Hwy 31 West, UT	Hwy 156-158, NV	3501252	683095
Shirley Meadows, CA	Hwy 153, UT	883843	185293
Big Cottonwood Canyon, UT	Parks Creek East, CA	1161977	220305
Burke Mt, VT	Mt Evans, CO	3547769	662577
Hwy 31 West, UT	Nate Harrison Grade, CA	1187660	242962
Wheeler Peak, NV	Mt Washington Auto Rd, NH	4613662	874273
Slumgullion Pass West, CO	Etna Summit West, CA	2007492	404016
Mt Equinox, VT	Mt Harrision, ID	4092254	779369
Burke Mt, VT	Hwy 156-158, NV	1722995	350852
N4/Table Mt, CA	Whiteface Mt, NY	3714946	682356
Shirley Meadows, CA	Gibraltar Road, Santa Barbara, CA	253555	75816
Tollhouse Rd, CA	Beartooth Pass North, MT	1648250	337469
Kolob Terrace Rd, UT	Big Cottonwood Canyon, UT	451682	89272
Grand Mesa South, CO	Glacier Lodge Rd, CA	1229408	253227
Dawson's Saddle, CA	Mineral King Rd, CA	411592	87940
Nate Harrison Grade, CA	Mosquito Ridge Rd East, CA	1015208	214820
Powder Mountain, UT	Whiteface Mt, NY	3869253	723708
Townes Pass West, CA	Mt Evans, CO	1530800	309263
Mt Lemmon, AZ	Mt Washington Auto Rd, NH	4599885	865367
Sonora Pass West, CA	Mt Rose, CA	162761	37242
Hwy 18 North, CA	Whiteface Mt, NY	1509935	299579
Dawson's Saddle, CA	Gibraltar Road, Santa Barbara, CA	231579	44958
Etna Summit West, CA	Mosquito Ridge Rd East, CA	516832	125059
Grand Mesa South, CO	Cottonwood Pass, CO	236426	56595
Sherman Pass West, CA	Nate Harrison Grade, CA	436789	91849
Valley of the Falls Dr, Forest Falls, CA 92339	Hwy 31 West, UT	1110763	224631
Burke Mt, VT	Mt Rose, CA	5011957	933780
Hwy 168, CA	Elkhorn Summit, OR	1052236	202081
Hwy 157-158, NV	Wolf Creek Pass, CO	1087545	219595
Hwy 18 North, CA	Magnolia Dr, CO	2702168	526810
Left Hand Canyon, CO	Mt Auscutney, VT	3357424	640689
Sherman Pass West, CA	Hurricane Ridge, WA	1960332	382006
Hwy 330, CA	Onion Valley Rd, CA	370227	70435
Valley of the Falls Dr, Forest Falls, CA 92339	Palomar Mt, CA	156782	36861
Cottonwood Pass, CO	Mission Ridge, WA	2102262	419743
Big Cottonwood Canyon, UT	Sandia Crest Hwy, NM	986684	199850
Palomar Mt, CA	Nate Harrison Grade, CA	9618	4427
Dantes View, CA	Grand Mesa North, CO	1166690	242512
Hurricane Ridge, WA	Wolf Creek Pass, CO	2470639	498748
Refugio Rd, CA	Etna Summit West, CA	1094369	226300
Hwy 18 North, CA	Tollhouse Rd, CA	4454743	854539
Balch Park Rd, CA	Palomar Mt, CA	560115	121638
Trail Ridge Rd, CO	Parks Creek East, CA	1897631	369806
Wheeler Peak, NV	Parks Creek East, CA	979492	188423
White Mountain, CA	Mt Rose, CA	354416	82900
Guanella Pass, CO	Grand Mesa North, CO	397740	99399
