waypoint1	waypoint2	distance_m	duration_s
Mt Equinox, VT	Big Cottonwood Canyon, UT	3948452	749338
Sandia Crest Hwy, NM	Whitney Portal, CA	1360610	268339
Nine Mile Rd, CA	Mt Evans, CO	3194037	594083
Monitor Pass East, CA	South Lake, CA	490566	102685
N4/Table Mt, CA	Dantes View, CA	1890870	358357
Portuguese Pass, CA	Balch Park Rd, CA	115037	30942
Balch Park Rd, CA	Lake Sabrina, CA	456788	99274
Onion Valley Rd, CA	Hwy 18-Waterman Canyon, CA	344022	66371
Valley of the Falls Dr, Forest Falls, CA 92339	Pine Creek Rd, CA	2346277	453112
Slumgullion Pass West, CO	Beartooth Pass North, MT	1112168	230911
Trail Ridge Rd, CO	Grand Mesa North, CO	415381	100611
Dawson's Saddle, CA	Mt Baldy, CA	99428	22649
Hwy 180 West, CA	Etna Summit West, CA	809772	171335
Mt Auscutney, VT	Clingman's Dome, TN	1687295	367859
Hwy 14 West, WY	Empire Pass, UT	691152	130720
Kolob Terrace Rd, UT	Wheeler Peak, NV	275523	54944
Onion Valley Rd, CA	Mt Hood, OR	1257130	245612
Hwy 157 (Mt Charleston), NV	Little Cottonwood Canyon, UT	735788	140743
Pikes Peak, CO	Mt Auscutney, VT	3392315	644592
East Portal, CO	Townes Pass East, CA	1454415	301323
Hwy 168, CA	Mission Ridge, WA	1446828	282912
Mt Equinox, VT	Townes Pass West, CA	4837578	911215
Dawson's Saddle, CA	Whitaker Forest Road, Badger, California	398765	81699
Death Valley Rd East, CA	Nate Harrison Grade, CA	570249	115953
Mt Equinox, VT	Mt Lemmon, AZ	4339546	811556
Hwy 168, CA	Trail Ridge Rd, CO	1466862	291253
Mt Equinox, VT	Emigrant Pass East, CA	4688759	879441
Hwy 156-158, NV	Emigrant Pass East, CA	3755541	716314
Whiteface Mt, NY	Mt Spokane, WA	4066832	759991
Glacier Lodge Rd, CA	Hwy 153, UT	660469	133347
Mt Baldy, CA	Shirley Meadows, CA	330669	74584
Mt Graham, AZ	Mt Evans, CO	1356390	264939
Beasore Rd, CA	Nate Harrison Grade, CA	720953	156712
Hurricane Ridge, WA	Mt Rose, CA	1348107	271873
Slumgullion Pass West, CO	Emigrant Pass East, CA	1140710	232487
Grand Mesa South, CO	Balch Park Rd, CA	1634303	333363
Mt Lemmon, AZ	Hwy 21-245-180-198, CA	1484182	279080
Wildrose, CA	East Portal, CO	2364151	443064
Sherman Pass West, CA	Mix Canyon, Fairfield	581836	119407
Mineral King Rd, CA	La Luz, NM	1782439	335362
Hwy 198, CA	Hwy 14 West, WY	1630900	352564
Pikes Peak, CO	Hwy 39-Crystal Lake Rd, CA	1769564	356804
Hwy 168, CA	Townes Pass West, CA	192450	43556
N4/Table Mt, CA	Mosquito Ridge Rd East, CA	1785009	359816
Hwy 143, UT	Hwy 18 North, CA	3575942	685617
Mosquito Ridge Rd East, CA	Empire Pass, UT	1055280	214823
Hwy 190, CA	Hurricane Ridge, WA	1851876	356374
Big Cottonwood Canyon, UT	Mission Ridge, WA	1372526	264234
Nine Mile Rd, CA	Beasore Rd, CA	4845831	931743
Wolf Creek Pass, CO	Mt Evans, CO	436253	95776
Clingman's Dome, TN	East Portal, CO	2495474	485778
Sherman Pass West, CA	Aspen, Colorado	1564494	321122
Guanella Pass, CO	Elkhorn Summit, OR	1582424	318915
Big Cottonwood Canyon, UT	Whitaker Forest Road, Badger, California	1076215	234875
La Luz, NM	Elkhorn Summit, OR	2147332	407961
Hwy 168, CA	Pikes Peak, CO	1605762	322398
Hwy 157 (Mt Charleston), NV	Shirley Meadows, CA	508535	108366
Hwy 330, CA	Hwy 180 West, CA	482364	98281
Guardsman Pass, UT	Beartooth Pass North, MT	786114	159462
Breckenridge Rd East, CA	Mosquito Ridge Rd East, CA	640369	132583
Townes Pass East, CA	White Mountain, CA	230403	50384
Burke Mt, VT	Hwy 18-Waterman Canyon, CA	5071461	942475
Monitor Pass East, CA	La Luz, NM	1697671	322100
Mt Lemmon, AZ	Lake Sabrina, CA	1224548	228166
Sonora Pass West, CA	Death Valley Rd East, CA	284986	54871
Mt Equinox, VT	Valley of the Falls Dr, Forest Falls, CA 92339	4845953	911965
Valley of the Falls Dr, Forest Falls, CA 92339	Mt Lemmon, AZ	797318	152186
Townes Pass West, CA	Mt Shasta, CA	883897	169816
South Lake, CA	Mt Washington Auto Rd, NH	5207924	982210
Sherman Pass West, CA	Guanella Pass, CO	1798855	363111
Etna Summit West, CA	Left Hand Canyon, CO	2174168	419238
Sandia Crest Hwy, NM	Mt Rose, CA	1666863	321438
Whitaker Forest Road, Badger, California	Wolf Creek Pass, CO	1644149	329192
Rock Creek, CA	Wolf Creek Pass, CO	1774659	357150
Pikes Peak, CO	Mt Lemmon, AZ	1389925	273954
Mt Equinox, VT	Pikes Peak, CO	3301371	625776
Hwy 31 West, UT	Lake Sabrina, CA	949388	181286
Grand Mesa South, CO	Sonora Pass West, CA	1357410	272504
Refugio Rd, CA	Left Hand Canyon, CO	2096110	410405
Clingman's Dome, TN	Emigrant Pass East, CA	3720402	718384
Hwy 198, CA	Hwy 21-245-180-198, CA	331239	65279
Mt Lemmon, AZ	Clingman's Dome, TN	3149736	609863
Burke Mt, VT	Onion Valley Rd, CA	5089848	951147
Cottonwood Pass, CO	Mt Rose, CA	1602473	331643
Mt Lemmon, AZ	Mt Spokane, WA	2497414	487174
Sonora Pass West, CA	Hwy 14 Alt Route, WY	1674791	317499
Hwy 180 West, CA	Left Hand Canyon, CO	1870970	397806
Hwy 330, CA	Gibraltar Road, Santa Barbara, CA	294872	60890
Grand Mesa South, CO	Whiteface Mt, NY	3698083	725380
Townes Pass West, CA	Left Hand Canyon, CO	1506907	308500
Mt Shasta, CA	Mt Hood, OR	555939	119241
Mt Washington Auto Rd, NH	Grand Mesa North, CO	4002088	784086
Burke Mt, VT	Mt Hood, OR	4754066	902482
Hwy 39-Crystal Lake Rd, CA	Nate Harrison Grade, CA	201471	47250
