number, name, fiets_index_score, length, avg_grade, ele_gain, ele_desc, start_ele, end_ele, max_grade, rd_cond, traffic, lat, long, url, route_number, secondary_route_number
28, Rock Creek California, 10.76, 24.5, 4.9, 5824, -274, 4521, 10223, 10.9, 4, 4, 37.46311, -118.59326, "https://www.pjammcycling.com/37.--rock-creek--ca.html",8947396
29, Lake Sabrina California, 10.71, 14.6, 7.8, 4809, -64, 4389, 9141, 17.8, 4, 3, 37.36083, -118.45427, "https://www.pjammcycling.com/28.-lake-sabrina--ca.html",4664092
30, Mineral King Rd California, 10.68, 21.3, 5.7, 6114, -304, 1185, 7107, 21.5, 2, 5, 36.46697, -118.85879, "https://www.pjammcycling.com/29.--mineral-king-road--ca.html",624817
31, Little Cottonwood Canyon Utah, 10.64, 10.5, 7.1, 3988, 0, 5390, 9384, 11.8, 4, 3, 40.57271, -111.77647, "https://www.pjammcycling.com/30.--little-cottonwood-canyon--ut.html",9647922
32, Wheeler Peak Nevada, 10.63, 15.9, 5.9, 4856, -18, 5320, 10170, 10.70 , 5, 4, 39.01207, -114.12316, "https://www.pjammcycling.com/31.--wheeler-peak--nv.html",636528
33, Nine Mile Rd California, 10.53, 15.7, 6.4, 5098, -99, 2590, 7576, 13.9, 4, 5, 35.84214, -117.87575, "https://www.pjammcycling.com/32.--nine-mile-canyon-road--ca.html",623599
34, Hwy 156-158 Nevada, 10.27, 16.3, 5.6, 5012, -63, 3350, 8332, 8.2 , 5, 4, 36.47554, -115.46974, "https://www.pjammcycling.com/33.--hwy-156-158--nv.html",665136
35, Hwy 198 California, 10.14, 19.6, 5.2, 5729, -208, 1284, 6859, 22.0, 4, 3, 36.47937, -118.83915, "https://www.pjammcycling.com/34.--hwy-198--ca.html",3617318
36, Palomar Mt California, 10.03, 12.4, 6.9, 4450, -3, 1026, 5513, 10.7, 4, 3, 33.28844, -116.95862, "https://www.pjammcycling.com/35.--palomar-mountain--ca.html",273807
37, Hwy 143 Utah, 9.94, 14.0, 6.6, 4331, -3, 5074, 10413, 14.3, 4, 4, 37.83863, -112.81978, "https://www.pjammcycling.com/36.--hwy-143--ut.html",9657320
38, Mt Lemmon Arizona, 9.87, 29.0, 4.3, 7080, -711, 2760, 9133, 10.8, 5, 3, 32.29483, -110.75438, "https://www.pjammcycling.com/38.-mt-lemmon--az.html",8950048
39, Big Cottonwood Canyon Utah, 9.83, 16.9, 5.8, 4900, -116, 4911, 9729, 13.6, 4, 2, 40.61933, -111.78945, "https://www.pjammcycling.com/39.--big-cottonwood-canyon--ut.html",621273
40, Hwy 190 California, 9.79, 22.3, 5.0, 6066, -301, 1207, 7191, 21.1, 4, 3, 36.13208, -118.78377, "https://www.pjammcycling.com/40.--hwy-190--ca.html",9910457
41, Glacier Lodge Rd California, 9.5, 9.6, 6.8, 3647, 0, 4029, 7804, 11.8, 3, 4, 37.16608, -118.30093, "https://www.pjammcycling.com/44.--glacier-lodge-rd--ca.html",9664095
42, Whiteface Mt New York, 9.46, 7.9, 8.3, 3509, 0, 1040, 4571, 10.5, 5, 4, 44.38987, -73.8223, "https://www.pjammcycling.com/41.-whiteface-mt--ny.html",667415
43, Hwy 21-245-180-198 California, 9.37, 28.4, 4.0, 6790, -271, 1295, 7593, 11.8, 3, 4, 36.56728, -119.02482, "https://www.pjammcycling.com/42.-hwy-21-245-180-198--ca.html",14594861,  4945390
